50-cells.html:30 -	time	id	type	x	y
50-cells.html:128 -	0	1	1	74.66666666666667	74.33333333333334
50-cells.html:128 -	0	2	1	1.3333333333333333	132.66666666666666
50-cells.html:128 -	0	3	1	74	76
50-cells.html:128 -	0	4	1	17.5	37.5
50-cells.html:128 -	0	5	1	7	26.5
50-cells.html:128 -	0	6	1	102	7
50-cells.html:128 -	0	7	1	72.5	11.5
50-cells.html:128 -	0	8	1	134	68.5
50-cells.html:128 -	0	9	1	98	138
50-cells.html:128 -	0	10	1	134.33333333333334	66
50-cells.html:128 -	0	11	1	108.5	116.5
50-cells.html:128 -	0	12	1	123.5	44.5
50-cells.html:128 -	0	13	1	124	143.5
50-cells.html:128 -	0	14	1	126	130.85714285714286
50-cells.html:128 -	0	15	1	144	48.5
50-cells.html:128 -	0	16	1	55	20
50-cells.html:128 -	0	17	1	74	60.666666666666664
50-cells.html:128 -	0	18	1	50	47
50-cells.html:128 -	0	19	1	92	123
50-cells.html:128 -	0	20	1	146	18
50-cells.html:128 -	0	21	1	14.5	87
50-cells.html:128 -	0	22	1	111.33333333333333	145.33333333333334
50-cells.html:128 -	0	23	1	43	128
50-cells.html:128 -	0	24	1	44	2
50-cells.html:128 -	0	25	1	111.66666666666667	131.33333333333334
50-cells.html:128 -	0	26	1	2	18.5
50-cells.html:128 -	0	27	1	77.5	108
50-cells.html:128 -	0	28	1	128.6	60.8
50-cells.html:128 -	0	29	1	58.5	85.5
50-cells.html:128 -	0	30	1	30.666666666666668	140
50-cells.html:128 -	0	31	1	71	77
50-cells.html:128 -	0	32	1	84.33333333333333	0
50-cells.html:128 -	0	33	1	52	30
50-cells.html:128 -	0	34	1	147	95
50-cells.html:128 -	0	35	1	6.8	50.2
50-cells.html:128 -	0	36	1	118.5	107.5
50-cells.html:128 -	0	37	1	53	114.5
50-cells.html:128 -	0	38	1	111.5	56
50-cells.html:128 -	0	39	1	136.66666666666669	55.66666666666667
50-cells.html:128 -	0	40	1	54.8	125.6
50-cells.html:128 -	0	41	1	144.5	84.5
50-cells.html:128 -	0	42	1	12.5	84
50-cells.html:128 -	0	43	1	5.666666666666667	84.66666666666667
50-cells.html:128 -	0	44	1	45.166666666666664	33.33333333333333
50-cells.html:128 -	0	45	1	53.5	39
50-cells.html:128 -	0	46	1	71.6	119.6
50-cells.html:128 -	0	47	1	100	18
50-cells.html:128 -	0	48	1	100.33333333333333	85.66666666666667
50-cells.html:128 -	0	49	1	83	15.714285714285714
50-cells.html:128 -	0	50	1	12	110
50-cells.html:128 -	10	1	1	75.08750000000002	70.43750000000001
50-cells.html:128 -	10	2	1	1.02027027027027	131.05405405405406
50-cells.html:128 -	10	3	1	75.53749999999998	76.48750000000001
50-cells.html:128 -	10	4	1	17.090090090090097	36.40540540540539
50-cells.html:128 -	10	5	1	7.734104046242773	28.3063583815029
50-cells.html:128 -	10	6	1	100.26315789473685	6.092105263157896
50-cells.html:128 -	10	7	1	71.88666666666664	12.926666666666664
50-cells.html:128 -	10	8	1	137.2545454545455	73.16363636363636
50-cells.html:128 -	10	9	1	97.60576923076925	137.08653846153842
50-cells.html:128 -	10	10	1	134.43529411764703	64.90588235294115
50-cells.html:128 -	10	11	1	107.825	114.90833333333336
50-cells.html:128 -	10	12	1	124.1168831168831	42.61038961038961
50-cells.html:128 -	10	13	1	125.62204724409447	142.03937007874015
50-cells.html:128 -	10	14	1	126.55303030303033	130.90151515151513
50-cells.html:128 -	10	15	1	144.19379844961242	47.36434108527133
50-cells.html:128 -	10	16	1	56.677419354838705	20.790322580645164
50-cells.html:128 -	10	17	1	73.55999999999997	60.76800000000002
50-cells.html:128 -	10	18	1	49.00000000000001	46.916666666666664
50-cells.html:128 -	10	19	1	92.73684210526312	123.42105263157893
50-cells.html:128 -	10	20	1	144.3763440860215	17.784946236559136
50-cells.html:128 -	10	21	1	19.470588235294123	85.84313725490198
50-cells.html:128 -	10	22	1	111.26923076923072	145.80769230769235
50-cells.html:128 -	10	23	1	44.23529411764704	128.26890756302524
50-cells.html:128 -	10	24	1	43.23703703703703	3.8666666666666676
50-cells.html:128 -	10	25	1	112.56834532374101	130.4388489208633
50-cells.html:128 -	10	26	1	2.875	16.322916666666675
50-cells.html:128 -	10	27	1	77.80555555555557	108.18055555555554
50-cells.html:128 -	10	28	1	128.71604938271605	61.2962962962963
50-cells.html:128 -	10	29	1	59.51724137931035	83.62758620689655
50-cells.html:128 -	10	30	1	30.015873015873023	140.60317460317455
50-cells.html:128 -	10	31	1	67.9615384615385	78.49999999999996
50-cells.html:128 -	10	32	1	84.24999999999997	150
50-cells.html:128 -	10	33	1	52.52427184466019	30.669902912621353
50-cells.html:128 -	10	34	1	149.09154929577466	95.9929577464789
50-cells.html:128 -	10	35	1	6.5541401273885365	49.98089171974521
50-cells.html:128 -	10	36	1	119.00826446280992	108.27272727272725
50-cells.html:128 -	10	37	1	54.204724409448815	114.3543307086614
50-cells.html:128 -	10	38	1	110.79816513761469	57.348623853211
50-cells.html:128 -	10	39	1	137.3434343434343	55.05050505050506
50-cells.html:128 -	10	40	1	55.37962962962965	126.86111111111111
50-cells.html:128 -	10	41	1	143.79310344827587	84.12931034482759
50-cells.html:128 -	10	42	1	11.804123711340207	82.29896907216494
50-cells.html:128 -	10	43	1	3.6190476190476195	84.11428571428577
50-cells.html:128 -	10	44	1	44.14705882352941	34.421568627450974
50-cells.html:128 -	10	45	1	55.196261682243	40.64485981308411
50-cells.html:128 -	10	46	1	71.48730964467006	117.49238578680207
50-cells.html:128 -	10	47	1	99.65476190476191	18.857142857142858
50-cells.html:128 -	10	48	1	96.81097560975607	88.50000000000001
50-cells.html:128 -	10	49	1	82.57723577235774	15.601626016260168
50-cells.html:128 -	10	50	1	11.357142857142856	110.57142857142857
50-cells.html:128 -	20	1	1	73.84653465346533	68.42574257425747
50-cells.html:128 -	20	2	1	0.5990099009900985	130.4653465346535
50-cells.html:128 -	20	3	1	78.36138613861394	77.47029702970298
50-cells.html:128 -	20	4	1	18.009900990099013	36.747524752475265
